,DATE,STATION,ENTRIES,EXITS
1142,01/20/2021,JOURNAL SQUARE,8159,6652
1143,01/20/2021,GROVE STREET,3555,4023
1144,01/20/2021,EXCHANGE PLACE,2507,3006
1145,01/20/2021,PAVONIA/NEWPORT,2227,2823
1146,01/20/2021,CITY / BUS,2601,3062
1147,01/20/2021,CHRISTOPHER ST,832,897
1148,01/20/2021,9TH STREET,736,1042
1149,01/20/2021,14TH STREET,1857,2463
1150,01/20/2021,TWENTY THIRD ST,1557,2053
1151,01/20/2021,THIRTY ST,2400,2146
1152,01/20/2021,LACKAWANNA,1267,1439
1153,01/20/2021,THIRTY THIRD ST,3980,3179
1154,01/20/2021,NEWARK BM BW,4750,238
1155,01/20/2021,NEWARK C,990,160
1156,01/20/2021,NEWARK HM HE,88,5672
1157,01/20/2021,PATH WTC 2,1029,3103
1158,01/20/2021,PATH NEW WTC,11072,10760
1159,01/21/2021,NEWARK HW BMEBE,977,1542
1160,01/21/2021,HARRISON,2030,2350
1161,01/21/2021,JOURNAL SQUARE,8502,6655
1162,01/21/2021,GROVE STREET,4036,4447
1163,01/21/2021,EXCHANGE PLACE,2720,3196
1164,01/21/2021,PAVONIA/NEWPORT,2379,2811
1165,01/21/2021,CITY / BUS,2998,3308
1166,01/21/2021,CHRISTOPHER ST,871,986
1167,01/21/2021,9TH STREET,930,1159
1168,01/21/2021,14TH STREET,2096,2598
1169,01/21/2021,TWENTY THIRD ST,1691,2146
1170,01/21/2021,THIRTY ST,2597,2239
1171,01/21/2021,LACKAWANNA,1315,1657
1172,01/21/2021,THIRTY THIRD ST,4300,3736
1173,01/21/2021,NEWARK BM BW,4824,272
1174,01/21/2021,NEWARK C,1087,208
1175,01/21/2021,NEWARK HM HE,86,6018
1176,01/21/2021,PATH WTC 2,1064,2970
1177,01/21/2021,PATH NEW WTC,11636,11734
1178,01/22/2021,NEWARK HW BMEBE,936,1508
1179,01/22/2021,HARRISON,2001,2471
1180,01/22/2021,JOURNAL SQUARE,8680,6993
1181,01/22/2021,GROVE STREET,4059,4892
1182,01/22/2021,EXCHANGE PLACE,2849,3368
1183,01/22/2021,PAVONIA/NEWPORT,2580,3260
1184,01/22/2021,CITY / BUS,3112,3654
1185,01/22/2021,CHRISTOPHER ST,1016,1165
1186,01/22/2021,9TH STREET,875,1292
1187,01/22/2021,14TH STREET,2143,2733
1188,01/22/2021,TWENTY THIRD ST,1654,2152
1189,01/22/2021,THIRTY ST,2526,2329
1190,01/22/2021,LACKAWANNA,1310,1584
1191,01/22/2021,THIRTY THIRD ST,4405,3335
1192,01/22/2021,NEWARK BM BW,5039,271
1193,01/22/2021,NEWARK C,986,158
1194,01/22/2021,NEWARK HM HE,35,6047
1195,01/22/2021,PATH WTC 2,1112,3293
1196,01/22/2021,PATH NEW WTC,11347,11587
1197,01/09/2021,NEWARK HW BMEBE,334,681
1198,01/09/2021,HARRISON,980,1181
1199,01/09/2021,JOURNAL SQUARE,5240,4865
1200,01/09/2021,GROVE STREET,2868,3540
1201,01/09/2021,EXCHANGE PLACE,1448,1932
1202,01/09/2021,PAVONIA/NEWPORT,2054,2576
1203,01/09/2021,CITY / BUS,2055,2767
1204,01/09/2021,CHRISTOPHER ST,797,912
1205,01/09/2021,9TH STREET,900,1151
1206,01/09/2021,14TH STREET,1666,2042
1207,01/09/2021,TWENTY THIRD ST,1005,1239
1208,01/09/2021,THIRTY ST,1088,195
1209,01/09/2021,LACKAWANNA,518,647
1210,01/09/2021,THIRTY THIRD ST,3416,3320
1211,01/09/2021,NEWARK BM BW,2885,269
1212,01/09/2021,NEWARK C,386,212
1213,01/09/2021,NEWARK HM HE,0,3306
1214,01/09/2021,PATH WTC 2,724,1628
1215,01/09/2021,PATH NEW WTC,5731,6514
1216,01/10/2021,NEWARK HW BMEBE,243,493
1217,01/10/2021,HARRISON,717,1092
1218,01/10/2021,JOURNAL SQUARE,4020,3613
1219,01/10/2021,GROVE STREET,2095,2529
1220,01/10/2021,EXCHANGE PLACE,1132,1611
1221,01/10/2021,PAVONIA/NEWPORT,1315,1756
1222,01/10/2021,CITY / BUS,1521,1901
1223,01/10/2021,CHRISTOPHER ST,612,710
1224,01/10/2021,9TH STREET,643,896
1225,01/10/2021,14TH STREET,1155,1499
1226,01/10/2021,TWENTY THIRD ST,677,908
1227,01/10/2021,THIRTY ST,881,1032
1228,01/10/2021,LACKAWANNA,377,564
1229,01/10/2021,THIRTY THIRD ST,2296,1464
1230,01/10/2021,NEWARK BM BW,2118,259
1231,01/10/2021,NEWARK C,264,136
1232,01/10/2021,NEWARK HM HE,4,2715
1233,01/10/2021,PATH WTC 2,599,1277
1234,01/10/2021,PATH NEW WTC,4216,4735
1235,01/11/2021,NEWARK HW BMEBE,815,1405
1236,01/11/2021,HARRISON,1907,2269
1237,01/11/2021,JOURNAL SQUARE,8147,6400
1238,01/11/2021,GROVE STREET,3448,3838
1239,01/11/2021,EXCHANGE PLACE,2287,2803
1240,01/11/2021,PAVONIA/NEWPORT,2206,2777
1241,01/11/2021,CITY / BUS,2603,3005
1242,01/11/2021,CHRISTOPHER ST,808,895
1243,01/11/2021,9TH STREET,757,1038
1244,01/11/2021,14TH STREET,1823,2439
1245,01/11/2021,TWENTY THIRD ST,1548,1984
1246,01/11/2021,THIRTY ST,2405,2359
1247,01/11/2021,LACKAWANNA,1191,1388
1248,01/11/2021,THIRTY THIRD ST,4375,3460
1249,01/11/2021,NEWARK BM BW,4595,283
1250,01/11/2021,NEWARK C,1326,212
1251,01/11/2021,NEWARK HM HE,20,5675
1252,01/11/2021,PATH WTC 2,1088,2910
1253,01/11/2021,PATH NEW WTC,10741,11106
1254,01/12/2021,NEWARK HW BMEBE,1032,1427
1255,01/12/2021,HARRISON,2050,2369
1256,01/12/2021,JOURNAL SQUARE,8501,7023
1257,01/12/2021,GROVE STREET,3741,4164
1258,01/12/2021,EXCHANGE PLACE,2384,3260
1259,01/12/2021,PAVONIA/NEWPORT,2353,2881
1260,01/12/2021,CITY / BUS,2753,3257
1261,01/12/2021,CHRISTOPHER ST,916,1019
1262,01/12/2021,9TH STREET,795,1096
1263,01/12/2021,14TH STREET,1954,2558
1264,01/12/2021,TWENTY THIRD ST,1586,2092
1265,01/12/2021,THIRTY ST,2607,2138
1266,01/12/2021,LACKAWANNA,1330,1652
1267,01/12/2021,THIRTY THIRD ST,4458,3629
1268,01/12/2021,NEWARK BM BW,4785,252
1269,01/12/2021,NEWARK C,1127,293
1270,01/12/2021,NEWARK HM HE,7,5855
1271,01/12/2021,PATH WTC 2,1133,2968
1272,01/12/2021,PATH NEW WTC,11369,11538
1273,01/13/2021,NEWARK HW BMEBE,1026,1500
1274,01/13/2021,HARRISON,2080,2334
1275,01/13/2021,JOURNAL SQUARE,8403,6989
1276,01/13/2021,GROVE STREET,3975,4283
1277,01/13/2021,EXCHANGE PLACE,2692,3141
1278,01/13/2021,PAVONIA/NEWPORT,2441,3078
1279,01/13/2021,CITY / BUS,2920,3216
1280,01/13/2021,CHRISTOPHER ST,913,1005
1281,01/13/2021,9TH STREET,809,1198
1282,01/13/2021,14TH STREET,1952,2639
1283,01/13/2021,TWENTY THIRD ST,1694,2186
1284,01/13/2021,THIRTY ST,2518,2286
1285,01/13/2021,LACKAWANNA,1270,1595
1286,01/13/2021,THIRTY THIRD ST,4450,3374
1287,01/13/2021,NEWARK BM BW,4868,263
1288,01/13/2021,NEWARK C,1042,307
1289,01/13/2021,NEWARK HM HE,1,6060
1290,01/13/2021,PATH WTC 2,1018,3283
1291,01/13/2021,PATH NEW WTC,11425,10851
1292,01/14/2021,NEWARK HW BMEBE,906,1459
1293,01/14/2021,HARRISON,2135,2450
1294,01/14/2021,JOURNAL SQUARE,8527,6780
1295,01/14/2021,GROVE STREET,4039,4353
1296,01/14/2021,EXCHANGE PLACE,2700,3238
1297,01/14/2021,PAVONIA/NEWPORT,2398,2798
1298,01/14/2021,CITY / BUS,3057,3290
1299,01/14/2021,CHRISTOPHER ST,897,1067
1300,01/14/2021,9TH STREET,903,1180
1301,01/14/2021,14TH STREET,2057,2508
1302,01/14/2021,TWENTY THIRD ST,1636,2165
1303,01/14/2021,THIRTY ST,2622,2490
1304,01/14/2021,LACKAWANNA,1307,1603
1305,01/14/2021,THIRTY THIRD ST,4443,3402
1306,01/14/2021,NEWARK BM BW,4898,301
1307,01/14/2021,NEWARK C,1136,286
1308,01/14/2021,NEWARK HM HE,2,6097
1309,01/14/2021,PATH WTC 2,1009,2999
1310,01/14/2021,PATH NEW WTC,11537,11190
1311,01/15/2021,NEWARK HW BMEBE,919,1550
1312,01/15/2021,HARRISON,1941,2404
1313,01/15/2021,JOURNAL SQUARE,8421,6778
1314,01/15/2021,GROVE STREET,3871,4389
1315,01/15/2021,EXCHANGE PLACE,2551,3135
1316,01/15/2021,PAVONIA/NEWPORT,2573,3134
1317,01/15/2021,CITY / BUS,2923,3446
1318,01/15/2021,CHRISTOPHER ST,852,1022
1319,01/15/2021,9TH STREET,878,1169
1320,01/15/2021,14TH STREET,2062,2645
1321,01/15/2021,TWENTY THIRD ST,1634,2110
1322,01/15/2021,THIRTY ST,2575,2184
1323,01/15/2021,LACKAWANNA,1144,1454
1324,01/15/2021,THIRTY THIRD ST,4433,3525
1325,01/15/2021,NEWARK BM BW,4852,289
1326,01/15/2021,NEWARK C,1090,181
1327,01/15/2021,NEWARK HM HE,2,5990
1328,01/15/2021,PATH WTC 2,1151,3031
1329,01/15/2021,PATH NEW WTC,11106,11248
1330,01/02/2021,NEWARK HW BMEBE,381,644
1331,01/02/2021,HARRISON,1048,921
1332,01/02/2021,JOURNAL SQUARE,5808,4851
1333,01/02/2021,GROVE STREET,2905,3411
1334,01/02/2021,EXCHANGE PLACE,1546,2012
1335,01/02/2021,PAVONIA/NEWPORT,2317,2735
1336,01/02/2021,CITY / BUS,2021,2240
1337,01/02/2021,CHRISTOPHER ST,676,818
1338,01/02/2021,9TH STREET,760,860
1339,01/02/2021,14TH STREET,1508,1988
1340,01/02/2021,TWENTY THIRD ST,911,1216
1341,01/02/2021,THIRTY ST,1324,786
1342,01/02/2021,LACKAWANNA,563,736
1343,01/02/2021,THIRTY THIRD ST,3710,4737
1344,01/02/2021,NEWARK BM BW,3367,308
1345,01/02/2021,NEWARK C,407,124
1346,01/02/2021,NEWARK HM HE,0,3546
1347,01/02/2021,PATH WTC 2,723,2640
1348,01/02/2021,PATH NEW WTC,5595,5915
1349,01/03/2021,NEWARK HW BMEBE,208,435
1350,01/03/2021,HARRISON,496,546
1351,01/03/2021,JOURNAL SQUARE,3381,3002
1352,01/03/2021,GROVE STREET,1386,1936
1353,01/03/2021,EXCHANGE PLACE,690,1061
1354,01/03/2021,PAVONIA/NEWPORT,989,1247
1355,01/03/2021,CITY / BUS,1002,1212
1356,01/03/2021,CHRISTOPHER ST,306,392
1357,01/03/2021,9TH STREET,401,476
1358,01/03/2021,14TH STREET,848,1233
1359,01/03/2021,TWENTY THIRD ST,471,693
1360,01/03/2021,THIRTY ST,669,454
1361,01/03/2021,LACKAWANNA,234,353
1362,01/03/2021,THIRTY THIRD ST,1737,2061
1363,01/03/2021,NEWARK BM BW,1918,236
1364,01/03/2021,NEWARK C,231,146
1365,01/03/2021,NEWARK HM HE,0,2418
1366,01/03/2021,PATH WTC 2,582,1473
1367,01/03/2021,PATH NEW WTC,3310,3209
1368,01/04/2021,NEWARK HW BMEBE,909,1449
1369,01/04/2021,HARRISON,1893,2180
1370,01/04/2021,JOURNAL SQUARE,8166,6531
1371,01/04/2021,GROVE STREET,3621,4138
1372,01/04/2021,EXCHANGE PLACE,2292,2887
1373,01/04/2021,PAVONIA/NEWPORT,2383,2851
1374,01/04/2021,CITY / BUS,2579,2912
1375,01/04/2021,CHRISTOPHER ST,756,877
1376,01/04/2021,9TH STREET,769,760
1377,01/04/2021,14TH STREET,1664,2398
1378,01/04/2021,TWENTY THIRD ST,1476,1863
1379,01/04/2021,THIRTY ST,2339,2843
1380,01/04/2021,LACKAWANNA,1221,1388
1381,01/04/2021,THIRTY THIRD ST,4322,3799
1382,01/04/2021,NEWARK BM BW,4756,203
1383,01/04/2021,NEWARK C,1067,215
1384,01/04/2021,NEWARK HM HE,0,5592
1385,01/04/2021,PATH WTC 2,949,3086
1386,01/04/2021,PATH NEW WTC,10918,10654
1387,01/05/2021,NEWARK HW BMEBE,982,1522
1388,01/05/2021,HARRISON,1927,1943
1389,01/05/2021,JOURNAL SQUARE,8451,6950
1390,01/05/2021,GROVE STREET,3644,3989
1391,01/05/2021,EXCHANGE PLACE,2408,3108
1392,01/05/2021,PAVONIA/NEWPORT,2332,2909
1393,01/05/2021,CITY / BUS,2743,3034
1394,01/05/2021,CHRISTOPHER ST,853,967
1395,01/05/2021,9TH STREET,715,804
1396,01/05/2021,14TH STREET,1943,2471
1397,01/05/2021,TWENTY THIRD ST,1639,2105
1398,01/05/2021,THIRTY ST,2508,2755
1399,01/05/2021,LACKAWANNA,1227,1551
1400,01/05/2021,THIRTY THIRD ST,4401,3970
1401,01/05/2021,NEWARK BM BW,4993,296
1402,01/05/2021,NEWARK C,1041,293
1403,01/05/2021,NEWARK HM HE,0,5870
1404,01/05/2021,PATH WTC 2,1119,3189
1405,01/05/2021,PATH NEW WTC,11181,10748
1406,01/06/2021,NEWARK HW BMEBE,905,1522
1407,01/06/2021,HARRISON,2047,1538
1408,01/06/2021,JOURNAL SQUARE,8354,6815
1409,01/06/2021,GROVE STREET,3724,4086
1410,01/06/2021,EXCHANGE PLACE,2385,3145
1411,01/06/2021,PAVONIA/NEWPORT,2392,2951
1412,01/06/2021,CITY / BUS,2760,2998
1413,01/06/2021,CHRISTOPHER ST,918,1005
1414,01/06/2021,9TH STREET,776,1051
1415,01/06/2021,14TH STREET,1885,2450
1416,01/06/2021,TWENTY THIRD ST,1618,2052
1417,01/06/2021,THIRTY ST,2555,2979
1418,01/06/2021,LACKAWANNA,1235,1516
1419,01/06/2021,THIRTY THIRD ST,4356,3831
1420,01/06/2021,NEWARK BM BW,4931,222
1421,01/06/2021,NEWARK C,1033,261
1422,01/06/2021,NEWARK HM HE,0,5807
1423,01/06/2021,PATH WTC 2,1090,2951
1424,01/06/2021,PATH NEW WTC,11404,11312
1425,01/07/2021,NEWARK HW BMEBE,963,1544
1426,01/07/2021,HARRISON,1973,1834
1427,01/07/2021,JOURNAL SQUARE,8268,6659
1428,01/07/2021,GROVE STREET,3837,4170
1429,01/07/2021,EXCHANGE PLACE,2367,2966
1430,01/07/2021,PAVONIA/NEWPORT,2255,2688
1431,01/07/2021,CITY / BUS,2848,3127
1432,01/07/2021,CHRISTOPHER ST,810,956
1433,01/07/2021,9TH STREET,833,1080
1434,01/07/2021,14TH STREET,2027,2466
1435,01/07/2021,TWENTY THIRD ST,1630,2072
1436,01/07/2021,THIRTY ST,2476,3100
1437,01/07/2021,LACKAWANNA,1223,1530
1438,01/07/2021,THIRTY THIRD ST,4260,3699
1439,01/07/2021,NEWARK BM BW,4811,257
1440,01/07/2021,NEWARK C,1040,255
1441,01/07/2021,NEWARK HM HE,0,5978
1442,01/07/2021,PATH WTC 2,946,2789
1443,01/07/2021,PATH NEW WTC,11207,11083
1444,01/08/2021,NEWARK HW BMEBE,974,1470
1445,01/08/2021,HARRISON,1962,2333
1446,01/08/2021,JOURNAL SQUARE,8466,6845
1447,01/08/2021,GROVE STREET,3843,4148
1448,01/08/2021,EXCHANGE PLACE,2382,2994
1449,01/08/2021,PAVONIA/NEWPORT,2567,3107
1450,01/08/2021,CITY / BUS,2850,3236
1451,01/08/2021,CHRISTOPHER ST,911,999
1452,01/08/2021,9TH STREET,828,1214
1453,01/08/2021,14TH STREET,1948,2616
1454,01/08/2021,TWENTY THIRD ST,1501,2059
1455,01/08/2021,THIRTY ST,2443,2720
1456,01/08/2021,LACKAWANNA,1133,1420
1457,01/08/2021,THIRTY THIRD ST,4198,3330
1458,01/08/2021,NEWARK BM BW,4912,254
1459,01/08/2021,NEWARK C,973,178
1460,01/08/2021,NEWARK HM HE,0,5700
1461,01/08/2021,PATH WTC 2,1130,3189
1462,01/08/2021,PATH NEW WTC,11034,10606
1463,12/26/2020,NEWARK HW BMEBE,344,518
1464,12/26/2020,HARRISON,939,1014
1465,12/26/2020,JOURNAL SQUARE,5212,4346
1466,12/26/2020,GROVE STREET,2190,2805
1467,12/26/2020,EXCHANGE PLACE,1222,1616
1468,12/26/2020,PAVONIA/NEWPORT,2042,2612
1469,12/26/2020,CITY / BUS,1246,1512
1470,12/26/2020,CHRISTOPHER ST,452,608
1471,12/26/2020,9TH STREET,487,855
1472,12/26/2020,14TH STREET,1145,1651
1473,12/26/2020,TWENTY THIRD ST,725,1097
1474,12/26/2020,THIRTY ST,794,499
1475,12/26/2020,LACKAWANNA,398,499
1476,12/26/2020,THIRTY THIRD ST,3559,2090
1477,12/26/2020,NEWARK BM BW,2827,303
1478,12/26/2020,NEWARK C,326,134
1479,12/26/2020,NEWARK HM HE,0,2567
1480,12/26/2020,PATH WTC 2,637,2055
1481,12/26/2020,PATH NEW WTC,5020,5193
1482,12/27/2020,NEWARK HW BMEBE,239,526
1483,12/27/2020,HARRISON,767,904
1484,12/27/2020,JOURNAL SQUARE,4039,3676
1485,12/27/2020,GROVE STREET,1934,2476
1486,12/27/2020,EXCHANGE PLACE,1076,1425
1487,12/27/2020,PAVONIA/NEWPORT,1452,1751
1488,12/27/2020,CITY / BUS,1215,1483
1489,12/27/2020,CHRISTOPHER ST,457,537
1490,12/27/2020,9TH STREET,500,822
1491,12/27/2020,14TH STREET,927,1416
1492,12/27/2020,TWENTY THIRD ST,608,869
1493,12/27/2020,THIRTY ST,806,555
1494,12/27/2020,LACKAWANNA,403,489
1495,12/27/2020,THIRTY THIRD ST,2480,3236
1496,12/27/2020,NEWARK BM BW,2556,383
1497,12/27/2020,NEWARK C,314,138
1498,12/27/2020,NEWARK HM HE,0,2269
1499,12/27/2020,PATH WTC 2,687,2005
1500,12/27/2020,PATH NEW WTC,4031,4292
1501,12/28/2020,NEWARK HW BMEBE,908,1327
1502,12/28/2020,HARRISON,1967,2323
1503,12/28/2020,JOURNAL SQUARE,7968,5980
1504,12/28/2020,GROVE STREET,3454,4066
1505,12/28/2020,EXCHANGE PLACE,2238,2821
1506,12/28/2020,PAVONIA/NEWPORT,2652,3263
1507,12/28/2020,CITY / BUS,2504,2790
1508,12/28/2020,CHRISTOPHER ST,755,904
1509,12/28/2020,9TH STREET,790,1071
1510,12/28/2020,14TH STREET,1736,2494
1511,12/28/2020,TWENTY THIRD ST,1342,1846
1512,12/28/2020,THIRTY ST,2420,3151
1513,12/28/2020,LACKAWANNA,1110,1263
1514,12/28/2020,THIRTY THIRD ST,4478,3181
1515,12/28/2020,NEWARK BM BW,4930,357
1516,12/28/2020,NEWARK C,1001,219
1517,12/28/2020,NEWARK HM HE,0,4515
1518,12/28/2020,PATH WTC 2,890,3258
1519,12/28/2020,PATH NEW WTC,10325,10820
1520,12/29/2020,NEWARK HW BMEBE,905,1338
1521,12/29/2020,HARRISON,1964,1995
1522,12/29/2020,JOURNAL SQUARE,8274,6312
1523,12/29/2020,GROVE STREET,3605,4279
1524,12/29/2020,EXCHANGE PLACE,2345,3025
1525,12/29/2020,PAVONIA/NEWPORT,2714,3370
1526,12/29/2020,CITY / BUS,2523,2842
1527,12/29/2020,CHRISTOPHER ST,825,923
1528,12/29/2020,9TH STREET,780,1110
1529,12/29/2020,14TH STREET,1848,2413
1530,12/29/2020,TWENTY THIRD ST,1434,1858
1531,12/29/2020,THIRTY ST,2363,3129
1532,12/29/2020,LACKAWANNA,1104,1379
1533,12/29/2020,THIRTY THIRD ST,4499,3418
1534,12/29/2020,NEWARK BM BW,4777,313
1535,12/29/2020,NEWARK C,894,298
1536,12/29/2020,NEWARK HM HE,0,4374
1537,12/29/2020,PATH WTC 2,1113,3124
1538,12/29/2020,PATH NEW WTC,10596,11239
1539,12/30/2020,NEWARK HW BMEBE,954,968
1540,12/30/2020,HARRISON,1959,2202
1541,12/30/2020,JOURNAL SQUARE,8340,6432
1542,12/30/2020,GROVE STREET,3827,4422
1543,12/30/2020,EXCHANGE PLACE,2395,2996
1544,12/30/2020,PAVONIA/NEWPORT,2863,3586
1545,12/30/2020,CITY / BUS,2701,3096
1546,12/30/2020,CHRISTOPHER ST,873,951
1547,12/30/2020,9TH STREET,802,1111
1548,12/30/2020,14TH STREET,1916,2526
1549,12/30/2020,TWENTY THIRD ST,1503,1940
1550,12/30/2020,THIRTY ST,2606,3530
1551,12/30/2020,LACKAWANNA,1072,1268
1552,12/30/2020,THIRTY THIRD ST,4566,3041
1553,12/30/2020,NEWARK BM BW,4814,444
1554,12/30/2020,NEWARK C,971,266
1555,12/30/2020,NEWARK HM HE,0,2770
1556,12/30/2020,PATH WTC 2,1120,3396
1557,12/30/2020,PATH NEW WTC,10493,11097
1558,12/31/2020,NEWARK HW BMEBE,1009,990
1559,12/31/2020,HARRISON,1419,1733
1560,12/31/2020,JOURNAL SQUARE,7105,5674
1561,12/31/2020,GROVE STREET,2944,3609
1562,12/31/2020,EXCHANGE PLACE,1887,2352
1563,12/31/2020,PAVONIA/NEWPORT,2279,2709
1564,12/31/2020,CITY / BUS,1898,2399
1565,12/31/2020,CHRISTOPHER ST,632,731
1566,12/31/2020,9TH STREET,680,985
1567,12/31/2020,14TH STREET,1608,1929
1568,12/31/2020,TWENTY THIRD ST,1085,1404
1569,12/31/2020,THIRTY ST,1958,2773
1570,12/31/2020,LACKAWANNA,738,987
1571,12/31/2020,THIRTY THIRD ST,3466,2800
1572,12/31/2020,NEWARK BM BW,3961,307
1573,12/31/2020,NEWARK C,690,243
1574,12/31/2020,PATH WTC 2,895,2718
1575,12/31/2020,PATH NEW WTC,8471,9038
1576,01/01/2021,NEWARK HW BMEBE,236,464
1577,01/01/2021,HARRISON,552,669
1578,01/01/2021,JOURNAL SQUARE,3420,3626
1579,01/01/2021,GROVE STREET,1412,1961
1580,01/01/2021,EXCHANGE PLACE,962,1278
1581,01/01/2021,PAVONIA/NEWPORT,1242,1584
1582,01/01/2021,CITY / BUS,990,1058
1583,01/01/2021,CHRISTOPHER ST,342,479
1584,01/01/2021,9TH STREET,381,428
1585,01/01/2021,14TH STREET,749,1130
1586,01/01/2021,TWENTY THIRD ST,424,682
1587,01/01/2021,THIRTY ST,848,475
1588,01/01/2021,LACKAWANNA,270,332
1589,01/01/2021,THIRTY THIRD ST,2030,2736
1590,01/01/2021,NEWARK BM BW,1889,249
1591,01/01/2021,NEWARK C,269,198
1592,01/01/2021,NEWARK HM HE,0,2496
1593,01/01/2021,PATH WTC 2,564,1579
1594,01/01/2021,PATH NEW WTC,3652,3821
1595,03/20/2021,NEWARK HW BMEBE,467,838
1596,03/20/2021,HARRISON,1416,1180
1597,03/20/2021,JOURNAL SQUARE,6632,5723
1598,03/20/2021,GROVE STREET,4132,4480
1599,03/20/2021,EXCHANGE PLACE,2268,2590
1600,03/20/2021,PAVONIA/NEWPORT,3057,3107
1601,03/20/2021,CITY / BUS,3313,3898
1602,03/20/2021,CHRISTOPHER ST,1116,1691
1603,03/20/2021,9TH STREET,1411,1918
1604,03/20/2021,14TH STREET,2197,2566
1605,03/20/2021,TWENTY THIRD ST,1233,1739
1606,03/20/2021,THIRTY ST,1577,2433
1607,03/20/2021,LACKAWANNA,822,913
1608,03/20/2021,THIRTY THIRD ST,3773,3015
1609,03/20/2021,NEWARK BM BW,4187,385
1610,03/20/2021,NEWARK C,405,215
1611,03/20/2021,NEWARK HM HE,0,3848
1612,03/20/2021,PATH WTC 2,964,1931
1613,03/20/2021,PATH NEW WTC,7239,8833
1614,03/21/2021,NEWARK HW BMEBE,259,659
1615,03/21/2021,HARRISON,1035,1169
1616,03/21/2021,JOURNAL SQUARE,5200,4872
1617,03/21/2021,GROVE STREET,3106,3674
1618,03/21/2021,EXCHANGE PLACE,1704,2082
1619,03/21/2021,PAVONIA/NEWPORT,2261,2621
1620,03/21/2021,CITY / BUS,2268,2570
1621,03/21/2021,CHRISTOPHER ST,1062,1279
1622,03/21/2021,9TH STREET,1132,1417
1623,03/21/2021,14TH STREET,1484,2155
1624,03/21/2021,TWENTY THIRD ST,820,1212
1625,03/21/2021,THIRTY ST,1172,1657
1626,03/21/2021,LACKAWANNA,669,875
1627,03/21/2021,THIRTY THIRD ST,3007,2080
1628,03/21/2021,NEWARK BM BW,3173,305
1629,03/21/2021,NEWARK C,260,201
1630,03/21/2021,NEWARK HM HE,0,3225
1631,03/21/2021,PATH WTC 2,687,1448
1632,03/21/2021,PATH NEW WTC,5622,6434
1633,03/22/2021,NEWARK HW BMEBE,975,1592
1634,03/22/2021,HARRISON,2212,1951
1635,03/22/2021,JOURNAL SQUARE,9119,7043
1636,03/22/2021,GROVE STREET,4360,5030
1637,03/22/2021,EXCHANGE PLACE,2965,3465
1638,03/22/2021,PAVONIA/NEWPORT,2602,3050
1639,03/22/2021,CITY / BUS,3145,3384
1640,03/22/2021,CHRISTOPHER ST,1004,1087
1641,03/22/2021,9TH STREET,915,1345
1642,03/22/2021,14TH STREET,2189,2782
1643,03/22/2021,TWENTY THIRD ST,1691,2177
1644,03/22/2021,THIRTY ST,2763,2916
1645,03/22/2021,LACKAWANNA,1447,1699
1646,03/22/2021,THIRTY THIRD ST,4718,4088
1647,03/22/2021,NEWARK BM BW,5619,808
1648,03/22/2021,NEWARK C,1107,689
1649,03/22/2021,NEWARK HM HE,74,5407
1650,03/22/2021,PATH WTC 2,1089,3099
1651,03/22/2021,PATH NEW WTC,12547,12652
1652,03/23/2021,NEWARK HW BMEBE,1034,1605
1653,03/23/2021,HARRISON,2296,2474
1654,03/23/2021,JOURNAL SQUARE,9358,7114
1655,03/23/2021,GROVE STREET,4623,5007
1656,03/23/2021,EXCHANGE PLACE,2932,3593
1657,03/23/2021,PAVONIA/NEWPORT,2780,3267
1658,03/23/2021,CITY / BUS,3396,3691
1659,03/23/2021,CHRISTOPHER ST,1074,1245
1660,03/23/2021,9TH STREET,1064,1347
1661,03/23/2021,14TH STREET,2342,2933
1662,03/23/2021,TWENTY THIRD ST,1868,2517
1663,03/23/2021,THIRTY ST,2677,3100
1664,03/23/2021,LACKAWANNA,1608,1863
1665,03/23/2021,THIRTY THIRD ST,4737,4250
1666,03/23/2021,NEWARK BM BW,5709,798
1667,03/23/2021,NEWARK C,1245,581
1668,03/23/2021,NEWARK HM HE,0,5599
1669,03/23/2021,PATH WTC 2,1300,3421
1670,03/23/2021,PATH NEW WTC,13082,13178
1671,03/24/2021,NEWARK HW BMEBE,948,1775
1672,03/24/2021,HARRISON,2143,2153
1673,03/24/2021,JOURNAL SQUARE,8757,6852
1674,03/24/2021,GROVE STREET,4254,4854
1675,03/24/2021,EXCHANGE PLACE,2747,3482
1676,03/24/2021,PAVONIA/NEWPORT,2649,3189
1677,03/24/2021,CITY / BUS,3130,3298
1678,03/24/2021,CHRISTOPHER ST,824,991
1679,03/24/2021,9TH STREET,910,1231
1680,03/24/2021,14TH STREET,2023,2821
1681,03/24/2021,TWENTY THIRD ST,1836,2355
1682,03/24/2021,THIRTY ST,2655,2821
1683,03/24/2021,LACKAWANNA,1455,1703
1684,03/24/2021,THIRTY THIRD ST,4690,4068
1685,03/24/2021,NEWARK BM BW,4339,268
1686,03/24/2021,NEWARK C,993,124
1687,03/24/2021,NEWARK HM HE,1220,5778
1688,03/24/2021,PATH WTC 2,1240,3278
1689,03/24/2021,PATH NEW WTC,12277,12164
1690,03/25/2021,NEWARK HW BMEBE,1009,1686
1691,03/25/2021,HARRISON,2516,3121
1692,03/25/2021,JOURNAL SQUARE,9611,7053
1693,03/25/2021,GROVE STREET,4898,5584
1694,03/25/2021,EXCHANGE PLACE,3058,3552
